label,nb_visits,nb_hits,nb_hits_with_time_generation,min_time_generation,max_time_generation,sum_time_spent,bounce_count,exit_nb_visits,sum_daily_nb_uniq_visitors,avg_time_on_dimension,bounce_rate,exit_rate,avg_time_generation,idsubdatatable,segment
246@statistisches-amt-kanton-zuerich,3,4,2,0.074,0.074,406,0,0,3,102,0%,0%,0.037,48,dimension9==246%40statistisches-amt-kanton-zuerich
249@statistisches-amt-kanton-zuerich,3,4,3,0.10800000000000001,0.10800000000000001,763,0,0,3,191,0%,0%,0.036,46,dimension9==249%40statistisches-amt-kanton-zuerich
263@statistisches-amt-kanton-zuerich,3,5,3,0.02,0.09599999999999999,346,0,0,3,69,0%,0%,0.035,138,dimension9==263%40statistisches-amt-kanton-zuerich
265@statistisches-amt-kanton-zuerich,3,4,3,0.179,0.179,13,0,1,3,3,0%,33%,0.06,110,dimension9==265%40statistisches-amt-kanton-zuerich
280@statistisches-amt-kanton-zuerich,3,4,3,0.593,0.593,56,0,0,3,14,0%,0%,0.198,97,dimension9==280%40statistisches-amt-kanton-zuerich
287@statistisches-amt-kanton-zuerich,3,4,3,0.024,0.024,508,0,0,3,127,0%,0%,0.008,168,dimension9==287%40statistisches-amt-kanton-zuerich
292@statistisches-amt-kanton-zuerich,3,4,3,0.022,0.022,346,0,0,3,87,0%,0%,0.007,100,dimension9==292%40statistisches-amt-kanton-zuerich
295@statistisches-amt-kanton-zuerich,3,4,3,0.272,0.272,11,0,1,3,3,0%,33%,0.091,83,dimension9==295%40statistisches-amt-kanton-zuerich
332@statistisches-amt-kanton-zuerich,3,3,3,0.614,0.614,279,0,0,3,93,0%,0%,0.205,59,dimension9==332%40statistisches-amt-kanton-zuerich
340@statistisches-amt-kanton-zuerich,3,4,2,0.032,0.032,4,0,1,3,1,0%,33%,0.016,139,dimension9==340%40statistisches-amt-kanton-zuerich
366@statistisches-amt-kanton-zuerich,3,5,3,0.9,0.904,175,0,0,3,35,0%,0%,0.451,127,dimension9==366%40statistisches-amt-kanton-zuerich
371@statistisches-amt-kanton-zuerich,3,5,4,0.485,0.485,35,0,1,3,7,0%,33%,0.159,82,dimension9==371%40statistisches-amt-kanton-zuerich
393@statistisches-amt-kanton-zuerich,3,4,2,0.022,0.022,96,0,1,3,24,0%,33%,0.011,103,dimension9==393%40statistisches-amt-kanton-zuerich
429@statistisches-amt-kanton-zuerich,3,3,3,1.2510000000000001,1.2510000000000001,26,0,0,3,9,0%,0%,0.417,NA,dimension9==429%40statistisches-amt-kanton-zuerich
437@statistisches-amt-kanton-zuerich,3,4,2,0.056,0.056,30,0,0,3,8,0%,0%,0.028,61,dimension9==437%40statistisches-amt-kanton-zuerich
444@statistisches-amt-kanton-zuerich,3,3,3,1.41,1.41,3,0,2,3,1,0%,67%,0.47,185,dimension9==444%40statistisches-amt-kanton-zuerich
449@statistisches-amt-kanton-zuerich,3,4,3,0.367,0.367,167,0,1,3,42,0%,33%,0.122,158,dimension9==449%40statistisches-amt-kanton-zuerich
587@statistisches-amt-kanton-zuerich,3,4,3,0.661,0.661,67,0,0,3,17,0%,0%,0.22,118,dimension9==587%40statistisches-amt-kanton-zuerich
595@statistisches-amt-kanton-zuerich,3,4,3,0.165,0.165,45,0,0,3,11,0%,0%,0.055,153,dimension9==595%40statistisches-amt-kanton-zuerich
613@statistisches-amt-kanton-zuerich,3,4,3,0.159,0.296,19,0,1,3,5,0%,33%,0.102,101,dimension9==613%40statistisches-amt-kanton-zuerich
624@statistisches-amt-kanton-zuerich,3,3,2,0.292,0.292,44,0,0,3,15,0%,0%,0.146,107,dimension9==624%40statistisches-amt-kanton-zuerich
697@staatsarchiv-kanton-zuerich,3,4,3,8.738999999999999,17.424,509,0,0,3,127,0%,0%,5.817,140,dimension9==697%40staatsarchiv-kanton-zuerich
26@statistisches-amt-kanton-zuerich,2,3,2,0.014,0.014,4,0,1,2,1,0%,50%,0.007,31,dimension9==26%40statistisches-amt-kanton-zuerich
38@statistisches-amt-kanton-zuerich,2,2,2,0.138,0.349,9,0,0,2,5,0%,0%,0.244,NA,dimension9==38%40statistisches-amt-kanton-zuerich
41@statistisches-amt-kanton-zuerich,2,2,1,0.168,0.168,450,1,1,2,225,50%,50%,0.168,56,dimension9==41%40statistisches-amt-kanton-zuerich
57@statistisches-amt-kanton-zuerich,2,4,3,0.072,0.08299999999999999,6,0,0,2,2,0%,0%,0.04,26,dimension9==57%40statistisches-amt-kanton-zuerich
73@statistisches-amt-kanton-zuerich,2,2,2,0.12,0.12,158,0,1,2,79,0%,50%,0.06,145,dimension9==73%40statistisches-amt-kanton-zuerich
77@statistisches-amt-kanton-zuerich,2,3,2,0.086,0.086,5,0,1,2,2,0%,50%,0.043,142,dimension9==77%40statistisches-amt-kanton-zuerich
84@statistisches-amt-kanton-zuerich,2,3,2,0.086,0.086,177,0,0,2,59,0%,0%,0.043,141,dimension9==84%40statistisches-amt-kanton-zuerich
100@statistisches-amt-kanton-zuerich,2,3,2,0.342,0.342,119,0,0,2,40,0%,0%,0.171,113,dimension9==100%40statistisches-amt-kanton-zuerich
104@statistisches-amt-kanton-zuerich,2,3,2,1.424,1.424,60,0,1,2,20,0%,50%,0.712,180,dimension9==104%40statistisches-amt-kanton-zuerich
106@statistisches-amt-kanton-zuerich,2,3,2,1.424,1.424,69,0,0,2,23,0%,0%,0.712,181,dimension9==106%40statistisches-amt-kanton-zuerich
110@statistisches-amt-kanton-zuerich,2,3,2,0.032,0.032,112,0,0,2,37,0%,0%,0.016,115,dimension9==110%40statistisches-amt-kanton-zuerich
114@statistisches-amt-kanton-zuerich,2,3,2,0.028,0.028,7,0,1,2,2,0%,50%,0.014,84,dimension9==114%40statistisches-amt-kanton-zuerich
115@statistisches-amt-kanton-zuerich,2,3,2,0.01,0.01,57,0,0,2,19,0%,0%,0.005,89,dimension9==115%40statistisches-amt-kanton-zuerich
117@statistisches-amt-kanton-zuerich,2,3,3,0.946,0.946,82,0,0,2,27,0%,0%,0.508,166,dimension9==117%40statistisches-amt-kanton-zuerich
137@statistisches-amt-kanton-zuerich,2,2,2,0.022,0.022,9,0,0,2,5,0%,0%,0.011,155,dimension9==137%40statistisches-amt-kanton-zuerich
151@statistisches-amt-kanton-zuerich,2,3,2,0.026,0.026,5,0,1,2,2,0%,50%,0.013,33,dimension9==151%40statistisches-amt-kanton-zuerich
168@statistisches-amt-kanton-zuerich,2,3,2,0.14,0.14,28,0,0,2,9,0%,0%,0.07,134,dimension9==168%40statistisches-amt-kanton-zuerich
185@statistisches-amt-kanton-zuerich,2,3,2,0.106,0.106,900,0,0,2,300,0%,0%,0.053,88,dimension9==185%40statistisches-amt-kanton-zuerich
207@statistisches-amt-kanton-zuerich,2,3,2,0.052,0.052,2,0,1,2,1,0%,50%,0.026,60,dimension9==207%40statistisches-amt-kanton-zuerich
209@statistisches-amt-kanton-zuerich,2,3,2,0.54,0.54,72,0,1,2,24,0%,50%,0.27,162,dimension9==209%40statistisches-amt-kanton-zuerich
237@statistisches-amt-kanton-zuerich,2,5,3,0.032,0.032,55,0,1,2,11,0%,50%,0.016,111,dimension9==237%40statistisches-amt-kanton-zuerich
259@statistisches-amt-kanton-zuerich,2,3,2,0.64,0.64,13,0,0,2,4,0%,0%,0.32,157,dimension9==259%40statistisches-amt-kanton-zuerich
283@statistisches-amt-kanton-zuerich,2,3,2,0.276,0.276,2,0,0,2,1,0%,0%,0.138,159,dimension9==283%40statistisches-amt-kanton-zuerich
293@statistisches-amt-kanton-zuerich,2,3,2,0.014,0.014,31,0,0,2,10,0%,0%,0.007,104,dimension9==293%40statistisches-amt-kanton-zuerich
341@statistisches-amt-kanton-zuerich,2,7,5,0.032,0.032,104,0,0,2,15,0%,0%,0.016,126,dimension9==341%40statistisches-amt-kanton-zuerich
369@statistisches-amt-kanton-zuerich,2,2,1,0.388,0.388,22,0,0,2,11,0%,0%,0.388,131,dimension9==369%40statistisches-amt-kanton-zuerich
387@statistisches-amt-kanton-zuerich,2,2,2,0.835,0.835,38,0,0,2,19,0%,0%,0.418,176,dimension9==387%40statistisches-amt-kanton-zuerich
402@statistisches-amt-kanton-zuerich,2,4,4,0.38,1.467,469,0,0,2,117,0%,0%,0.464,25,dimension9==402%40statistisches-amt-kanton-zuerich
417@statistisches-amt-kanton-zuerich,2,3,2,0.016,0.016,2,0,1,2,1,0%,50%,0.008,184,dimension9==417%40statistisches-amt-kanton-zuerich
450@statistisches-amt-kanton-zuerich,2,2,2,0.328,0.328,0,0,2,2,0,0%,100%,0.164,19,dimension9==450%40statistisches-amt-kanton-zuerich
453@statistisches-amt-kanton-zuerich,2,3,2,0.52,0.52,2,0,1,2,1,0%,50%,0.26,188,dimension9==453%40statistisches-amt-kanton-zuerich
490@statistisches-amt-kanton-zuerich,2,3,2,0.676,0.676,365,0,0,2,122,0%,0%,0.338,178,dimension9==490%40statistisches-amt-kanton-zuerich
512@statistisches-amt-kanton-zuerich,2,3,2,0.586,0.586,2,0,0,2,1,0%,0%,0.293,175,dimension9==512%40statistisches-amt-kanton-zuerich
527@statistisches-amt-kanton-zuerich,2,3,2,0.712,0.712,82,0,0,2,27,0%,0%,0.356,91,dimension9==527%40statistisches-amt-kanton-zuerich
533@statistisches-amt-kanton-zuerich,2,3,2,0.526,0.526,920,0,0,2,307,0%,0%,0.263,27,dimension9==533%40statistisches-amt-kanton-zuerich
620@statistisches-amt-kanton-zuerich,2,2,1,0.342,0.342,0,2,2,2,0,100%,100%,0.342,170,dimension9==620%40statistisches-amt-kanton-zuerich
636@statistisches-amt-kanton-zuerich,2,3,2,0.302,0.302,7,0,1,2,2,0%,50%,0.151,77,dimension9==636%40statistisches-amt-kanton-zuerich
662@statistisches-amt-kanton-zuerich,2,5,5,0.013000000000000001,0.036000000000000004,1512,0,0,2,302,0%,0%,0.01,23,dimension9==662%40statistisches-amt-kanton-zuerich
16@statistisches-amt-kanton-zuerich,1,1,1,0.027,0.027,57,0,0,1,57,0%,0%,0.027,144,dimension9==16%40statistisches-amt-kanton-zuerich
29@statistisches-amt-kanton-zuerich,1,2,2,0.406,0.406,7,0,1,1,4,0%,100%,0.406,174,dimension9==29%40statistisches-amt-kanton-zuerich
39@statistisches-amt-kanton-zuerich,1,1,1,0.187,0.187,21,0,0,1,21,0%,0%,0.187,NA,dimension9==39%40statistisches-amt-kanton-zuerich
49@statistisches-amt-kanton-zuerich,1,2,2,0.579,0.579,9,0,0,1,5,0%,0%,0.579,167,dimension9==49%40statistisches-amt-kanton-zuerich
56@statistisches-amt-kanton-zuerich,1,1,1,0.011,0.011,2,0,0,1,2,0%,0%,0.011,182,dimension9==56%40statistisches-amt-kanton-zuerich
60@statistisches-amt-kanton-zuerich,1,1,1,0.641,0.641,6,0,0,1,6,0%,0%,0.641,71,dimension9==60%40statistisches-amt-kanton-zuerich
67@statistisches-amt-kanton-zuerich,1,2,2,0.142,0.142,3,0,0,1,2,0%,0%,0.142,171,dimension9==67%40statistisches-amt-kanton-zuerich
118@statistisches-amt-kanton-zuerich,1,2,2,0.014,0.42,134,0,1,1,67,0%,100%,0.217,NA,dimension9==118%40statistisches-amt-kanton-zuerich
125@statistisches-amt-kanton-zuerich,1,1,1,0.021,0.021,0,0,1,1,0,0%,100%,0.021,121,dimension9==125%40statistisches-amt-kanton-zuerich
134@statistisches-amt-kanton-zuerich,1,1,1,0.018,0.018,62,0,0,1,62,0%,0%,0.018,136,dimension9==134%40statistisches-amt-kanton-zuerich
164@statistisches-amt-kanton-zuerich,1,1,1,0.575,0.575,155,0,0,1,155,0%,0%,0.575,98,dimension9==164%40statistisches-amt-kanton-zuerich
171@statistisches-amt-kanton-zuerich,1,1,1,0.004,0.004,0,0,1,1,0,0%,100%,0.004,80,dimension9==171%40statistisches-amt-kanton-zuerich
179@statistisches-amt-kanton-zuerich,1,1,1,0.449,0.449,73,0,0,1,73,0%,0%,0.449,NA,dimension9==179%40statistisches-amt-kanton-zuerich
186@statistisches-amt-kanton-zuerich,1,1,1,0.018,0.018,22,0,0,1,22,0%,0%,0.018,137,dimension9==186%40statistisches-amt-kanton-zuerich
187@statistisches-amt-kanton-zuerich,1,1,1,0.005,0.005,0,0,0,1,0,0%,0%,0.005,70,dimension9==187%40statistisches-amt-kanton-zuerich
203@statistisches-amt-kanton-zuerich,1,1,1,0.229,0.229,6,0,0,1,6,0%,0%,0.229,NA,dimension9==203%40statistisches-amt-kanton-zuerich
210@statistisches-amt-kanton-zuerich,1,1,1,0.018,0.018,11,0,0,1,11,0%,0%,0.018,177,dimension9==210%40statistisches-amt-kanton-zuerich
226@statistisches-amt-kanton-zuerich,1,1,1,0.006,0.006,2,0,0,1,2,0%,0%,0.006,186,dimension9==226%40statistisches-amt-kanton-zuerich
228@statistisches-amt-kanton-zuerich,1,1,1,0.432,0.432,0,0,1,1,0,0%,100%,0.432,NA,dimension9==228%40statistisches-amt-kanton-zuerich
241@statistisches-amt-kanton-zuerich,1,1,1,0.013,0.013,0,0,1,1,0,0%,100%,0.013,55,dimension9==241%40statistisches-amt-kanton-zuerich
247@statistisches-amt-kanton-zuerich,1,1,1,0.056,0.056,39,0,0,1,39,0%,0%,0.056,52,dimension9==247%40statistisches-amt-kanton-zuerich
281@statistisches-amt-kanton-zuerich,1,1,1,0.378,0.378,12,0,0,1,12,0%,0%,0.378,36,dimension9==281%40statistisches-amt-kanton-zuerich
291@statistisches-amt-kanton-zuerich,1,1,1,0.023,0.023,0,1,1,1,0,100%,100%,0.023,94,dimension9==291%40statistisches-amt-kanton-zuerich
294@statistisches-amt-kanton-zuerich,1,1,1,0.023,0.023,888,0,0,1,888,0%,0%,0.023,96,dimension9==294%40statistisches-amt-kanton-zuerich
314@statistisches-amt-kanton-zuerich,1,1,1,0.558,0.558,42,0,0,1,42,0%,0%,0.558,NA,dimension9==314%40statistisches-amt-kanton-zuerich
320@statistisches-amt-kanton-zuerich,1,1,1,0.014,0.014,5,0,0,1,5,0%,0%,0.014,85,dimension9==320%40statistisches-amt-kanton-zuerich
321@statistisches-amt-kanton-zuerich,1,1,1,0.342,0.342,0,0,1,1,0,0%,100%,0.342,135,dimension9==321%40statistisches-amt-kanton-zuerich
322@statistisches-amt-kanton-zuerich,1,1,1,0.364,0.364,9,0,0,1,9,0%,0%,0.364,NA,dimension9==322%40statistisches-amt-kanton-zuerich
326@statistisches-amt-kanton-zuerich,1,1,1,0.364,0.364,168,0,0,1,168,0%,0%,0.364,NA,dimension9==326%40statistisches-amt-kanton-zuerich
334@statistisches-amt-kanton-zuerich,1,2,2,0.005,0.009,11,0,0,1,6,0%,0%,0.007,183,dimension9==334%40statistisches-amt-kanton-zuerich
338@statistisches-amt-kanton-zuerich,1,1,1,0.011,0.011,2,0,0,1,2,0%,0%,0.011,191,dimension9==338%40statistisches-amt-kanton-zuerich
339@statistisches-amt-kanton-zuerich,1,1,1,0.011,0.011,2,0,0,1,2,0%,0%,0.011,192,dimension9==339%40statistisches-amt-kanton-zuerich
347@statistisches-amt-kanton-zuerich,1,2,2,0.011,0.011,11,0,1,1,6,0%,100%,0.011,62,dimension9==347%40statistisches-amt-kanton-zuerich
353@statistisches-amt-kanton-zuerich,1,1,1,0.016,0.016,21,0,0,1,21,0%,0%,0.016,125,dimension9==353%40statistisches-amt-kanton-zuerich
355@statistisches-amt-kanton-zuerich,1,1,1,0.012,0.012,11,0,0,1,11,0%,0%,0.012,69,dimension9==355%40statistisches-amt-kanton-zuerich
368@statistisches-amt-kanton-zuerich,1,1,1,0.009,0.009,19,0,0,1,19,0%,0%,0.009,132,dimension9==368%40statistisches-amt-kanton-zuerich
382@statistisches-amt-kanton-zuerich,1,1,1,0.238,0.238,12,0,0,1,12,0%,0%,0.238,148,dimension9==382%40statistisches-amt-kanton-zuerich
388@statistisches-amt-kanton-zuerich,1,1,1,0.01,0.01,1228,0,0,1,1228,0%,0%,0.01,173,dimension9==388%40statistisches-amt-kanton-zuerich
411@statistisches-amt-kanton-zuerich,1,1,1,0.041,0.041,4,0,0,1,4,0%,0%,0.041,165,dimension9==411%40statistisches-amt-kanton-zuerich
412@statistisches-amt-kanton-zuerich,1,1,1,0.041,0.041,4,0,0,1,4,0%,0%,0.041,164,dimension9==412%40statistisches-amt-kanton-zuerich
477@statistisches-amt-kanton-zuerich,1,1,1,0.439,0.439,22,0,0,1,22,0%,0%,0.439,NA,dimension9==477%40statistisches-amt-kanton-zuerich
481@statistisches-amt-kanton-zuerich,1,1,1,0.008,0.008,5,0,0,1,5,0%,0%,0.008,143,dimension9==481%40statistisches-amt-kanton-zuerich
509@statistisches-amt-kanton-zuerich,1,1,1,0.177,0.177,0,0,1,1,0,0%,100%,0.177,189,dimension9==509%40statistisches-amt-kanton-zuerich
530@statistisches-amt-kanton-zuerich,1,1,1,0.242,0.242,17,0,0,1,17,0%,0%,0.242,NA,dimension9==530%40statistisches-amt-kanton-zuerich
591@statistisches-amt-kanton-zuerich,1,1,1,0.302,0.302,13,0,0,1,13,0%,0%,0.302,NA,dimension9==591%40statistisches-amt-kanton-zuerich
603@statistisches-amt-kanton-zuerich,1,1,1,0.008,0.008,18,0,0,1,18,0%,0%,0.008,109,dimension9==603%40statistisches-amt-kanton-zuerich
661@statistisches-amt-kanton-zuerich,1,1,1,0.364,0.364,0,0,1,1,0,0%,100%,0.364,NA,dimension9==661%40statistisches-amt-kanton-zuerich
687@statistisches-amt-kanton-zuerich,1,1,1,0.779,0.779,0,0,1,1,0,0%,100%,0.779,NA,dimension9==687%40statistisches-amt-kanton-zuerich
704@statistisches-amt-kanton-zuerich,1,2,2,0.005,0.027,730,0,0,1,365,0%,0%,0.016,30,dimension9==704%40statistisches-amt-kanton-zuerich
